Date,Change,title,full_text
2000-03-16,Increase,Apple Expands Distribution Through Alliance with Tech Data,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-03-17,Increase,Court Dismisses Microware Systems Suit Against Apple,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-03-21,Increase,Steve Jobs to Kick Off Apple’s Worldwide Developer Conference,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-03,Decrease,Pascal Cagni Joins Apple as Vice President of Europe,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-05,Increase,Apple’s QuickTime 4 Downloads Top 32 Million and Ten New QTV Channels Premiere,"Darwin 1.0 Available Open Source
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-05,Increase,Apple Teams with Kanisa for e-Service,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-05,Increase,Apple Releases Darwin 1.0 Open Source,"New Mac OS Core and QuickTime Streaming Server Released to Tens of Thousands of Developers
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-05,Increase,Apple Adds 10 New Music and Video Channels to QuickTime TV,"Sony Music and ZDTV Lead New QTV Lineup
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-05,Increase,"Apple, Matrox and Pinnacle to Hold Press Conference at NAB2000","Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-10,Decrease,Apple Announces Final Cut Pro 1.2.5,"Award-Winning Video Editing Software Supports Wide-Screen Format
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-10,Decrease,"Apple Acquires DVD Authoring Technology, Products and Engineering Team From Astarte","Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-10,Decrease,Matrox and Apple Announce Real-Time DV Editing for the Mac,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-10,Decrease,Pinnacle Systems and Apple Bring Uncompressed High-Definition Video to the Macintosh,"Solutions Deliver Maximum-Quality Video at Breakthrough Prices
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-11,Decrease,Apple Teams Up with THE WIZ to Offer Complete Desktop Video Experience,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-14,Increase,Media Alert,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-19,Decrease,Apple Reports Second Quarter Profit of $233 Million,"Revenues up 27 percent; Profits up 72 percent
Consolidated Statements
View PDF
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-04-28,Decrease,Apple Offers iMovie as Free Download for PowerBook and Power Mac G4 Users,"Apple Continues to Lead Desktop Movie Making Revolution
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-09,Decrease,"iMovie Downloads Top 150,000 in First Week","Apple’s Groundbreaking Video Editing Software a Hit with PowerBook and Power Mac G4 Customers
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-15,Decrease,Apple Expands Professional Services Organization,"Apple iServices Broadens Professional Support for WebObjects,
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-15,Decrease,QuickTime 4 Tops 50 Million Copies and Apple Previews Next Version,"Apple.com Named Number One Movie Trailer Site
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-15,Decrease,"Apple Drops WebObjects License Price From $50,000 to $699","New Version to be Entirely Java-Based
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-15,Decrease,Apple Releases Mac OS X Developer Preview 4 with Final API Specs,"Preview Comes Bundled with Microsoft Internet Explorer 5 and Supports the Java 2 Platform
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-15,Decrease,More than 200 Developers Committed to Mac OS X,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-16,Increase,Apple and Wolf Camera Team Up to Offer Complete Desktop Video Experience,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-05-23,Decrease,Kodak Licenses Apple’s QuickTime,"Kodak Digital Cameras to Integrate QuickTime for Quick & Easy Video Creation
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-06-06,Increase,IDC Confirms Apple is Number One in U.S. & Worldwide Education Markets,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-06-06,Increase,Apple Delivers Final Cut Pro 1.2.5,"Upgrade Available as a Free Download
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-06-12,Decrease,Apple and RealNetworks Announce Internet Streaming Collaboration,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-06-20,Increase,Apple Announces Second Annual QuickTime Live! Conference,"Four-Day Event to Feature Intensive Workshops, Technical Sessions and a Comprehensive Product Showcase
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-06-26,Increase,Apple Demonstrates its Leading Education Solutions at NECC,"
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-10,Increase,Apple at Macworld Expo New York 2000,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-11,Decrease,Media Alert,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-18,Decrease,Apple Expands National Retail Effort with Circuit City,"Apple’s iMac, iBook and AirPort will be Offered in More Than 570 Circuit City Stores Nationwide
The latest news and updates,direct from Apple.
Read more"
2000-07-18,Decrease,Apple Reports Third Quarter Profit of $200 Million,"Revenues up 17 percentProfits Before Investment Gains up 43 percent
Apple Media Helpline


media.help@apple.com

Consolidated Statements
View PDF
The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Debuts New Power Mac G4s with Dual Processors,"Up to Twice the Processing Power at No Additional Cost
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Introduces iMovie 2,"World’s Most Popular Desktop Movie Software Now Even Easier and More Powerful
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Introduces New iMacs in Stunning New Colors,"Now Starting at Breakthrough Price of $799
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Unveils More Powerful and Easier-to-Use HomePage iTool,"Users Can Easily Create Their Own Personal Websites with No Programming
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Introduces Revolutionary G4 Cube,"Power Mac G4 Cube Delivers G4 Performance in an Eight Inch Cube
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Unveils All New Family of Displays to Complement Power Mac G4 Cube and Power Mac G4,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Unveils Entirely New Desktop Line Including the Revolutionary Power Mac G4 Cube,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-19,Decrease,Apple Unveils Optical Mouse and New Pro Keyboard,"Apple First to Ship Optical Mouse Standard on All Desktop Computers
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-07-24,Decrease,Apple and Akamai Deliver Landmark Webcast of Macworld Keynote,"4.3 Gigabits Per Second of Video Streamed at Broadband Rates of 1 Megabit Per Second Streams
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-08-02,Decrease,Apple Files Lawsuit to Stop Misappropriation of Apple Trade Secrets,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-08-08,Decrease,Martin Geh Joins Apple as  Vice President of Asia Pacific,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-08-09,Decrease,Apple and MBNA Introduce Instant Financing for Customers,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-08-10,Decrease,Lucasfilm and Apple Bring Star Wars: Episode II to Starwars.com and Apple.com,"“On Location” Series, Movie Trailers and Documentaries Streamed Exclusively In QuickTime
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-08-15,Decrease,Genentech CEO Arthur Levinson Joins Apple Board of Directors,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-13,Increase,Apple Delivers Advanced Radeon Graphics Card For Power Mac G4 and Power Mac G4 Cube,"The latest news and updates,direct from Apple.
Read more"
2000-09-13,Increase,Apple Releases Mac OS X Public Beta,"Preview of Apple's Next-Generation Operating System
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-13,Increase,Apple Releases Mac OS X Public Beta and Unveils New iBook Line,"Over 250 Exhibitors Showcasing Solutions and Services for the Macintosh at Apple Expo
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-13,Increase,Apple Unveils New iBook Line,"All New Colors Plus iMovie 2 for Portable Video Editing
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-18,Increase,Apple Licenses Amazon.com 1-Click Patent and Trademark,"New Apple Online Store with 1-Click Shopping Premieres Today
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-19,Increase,"Warner Bros., Maverick and Apple Bring Madonna’s “Music” to the Web","All Ten Tracks from Forthcoming Album Available at www.madonnamusic.com Exclusively in QuickTime
The latest news and updates,direct from Apple.
Read more"
2000-09-28,Increase,Media Alert,"Apple Announces Keynote Speakers for Upcoming QuickTime Live! Conference
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-09-28,Increase,Apple to Report Lower than Expected Fourth Quarter Earnings,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-10-09,Decrease,Apple Announces Mandich’s Retirement,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-10-10,Decrease,Apple Releases QuickTime 5 and QuickTime Streaming Server 3 Public Previews,"Open, Industry Standard Streaming Technologies Feature New Web “Skip Protection” and Updated User Interfaces
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-10-10,Decrease,Apple’s QuickTime 4 Surpasses 100 Million Mark,"QuickTime Chosen as Exclusive Format for RollingStone.com Concert Series Site
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-10-16,Decrease,Media Alert,"The latest news and updates,direct from Apple.
Read more"
2000-10-17,Decrease,Apple and Pinnacle Ship Uncompressed Video Editing Solution at Breakthrough Price,"First Solution Scalable from SD to HD Available Only on the Mac
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-10-18,Increase,Apple Reports Fourth Quarter Profit of $170 Million,"Apple Media Helpline


media.help@apple.com

Consolidated Financial Statements
View PDF
Q4 FY 2000 Data Summary
View PDF
The latest news and updates,direct from Apple.
Read more"
2000-10-30,Increase,Cheryl Vedoe Joins Apple as Vice President of Education Marketing and Solutions,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-11-08,Decrease,Oracle Certifies Mac Client On Oracle E-Business Suite,"First Internet-Enabled Solution Certified for Mac OS 9, Coming to Mac OS X
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-11-09,Increase,"Epic Records Group, VIBE Online and Apple Announce Premiere Of Sade's New Album Online","Worldwide Listening Party Exclusively in QuickTime on November 10
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-12-05,Increase,Apple To Report Disappointing First Quarter Results,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2000-12-19,Decrease,Apple at Macworld Expo San Francisco 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-09,Increase,Apple Unveils One Inch Thick Titanium PowerBook G4,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-09,Increase,Apple’s Mac OS X to Ship on March 24,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-09,Increase,Apple Introduces iTunes — World’s Best and Easiest To Use Jukebox Software,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-09,Increase,Apple Delivers New Power Mac G4 with 733 MHz PowerPC G4 Processors,"G4 Line Features CD-RW Standard in All Models to Burn CDs & Apple’s Revolutionary New SuperDrive to Burn CDs & DVDs
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-09,Increase,Apple Brings DVD Authoring to the Desktop with iDVD and DVD Studio Pro,"With Apple’s Revolutionary SuperDrive, Power Mac G4 Is First Complete DVD Authoring Solution
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-16,Decrease,Macworld San Francisco Draws Record Crowd,"Over 93,000 Attend & See New Products from Nearly 300 Macintosh Developers
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-16,Decrease,"iTunes Downloads Top 275,000 in First Week","Mac Users Raving About Apple’s New Jukebox Software for Managing Digital Music & Burning Custom CDs
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-17,Decrease,Apple Reports First Quarter Results,"Consolidated Financial Statements
View PDF
Q4 FY 2000 Data Summary
View PDF
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-01-29,Increase,Media Alert,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-02-20,Decrease,Apple Keynote to be Broadcast Live via Satellite from Macworld Expo/Tokyo 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-02-22,Decrease,Apple Unveils New iMacs With CD-RW Drives & iTunes Software,"Rip, Mix, Burn Your Own Custom Music CDs
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-02-22,Decrease,Apple Announces iTunes 1.1 With Support for Over 25 Third-Party CD Burners,"iTunes Downloads Top 750,000 in First Six Weeks
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-02-22,Decrease,Apple Introduces New Power Mac G4 Cube With CD-RW & iTunes,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-06,Increase,Apple’s New Prime Time TV Ad Highlights Burning Custom Music CDs on Macs,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-07,Decrease,Mac OS X “Gold Master” Released To Manufacturing,"World’s Most Advanced Operating System Ready to Ship on March 24
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-08,Increase,"Apple Ships New 733 MHz Power Mac G4 with CD-RW for $2,999","Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-14,Increase,Apple Introduces Final Cut Pro 2 with Real-Time Editing and Breakthrough G4 Performance,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-14,Increase,Apple to Acquire PowerSchool,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-21,Increase,"More than 10,000 Developers Working on Mac OS X Solutions","Over 350 Mac OS X Applications Shipping Today
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-03-21,Increase,Mac OS X Hits Stores This Weekend,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-04,Decrease,Apple Announces AppleWorks 6.1 With Exclusive Edition for Educators,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-16,Decrease,FY 01 Second Quarter Results Conference Call,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-17,Decrease,Steve Jobs to Kick Off Apple’s Worldwide Developers Conference 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-18,Increase,Apple Reports Second Quarter Profit of $43 Million,"Consolidated Financial Statements
View PDF
Q2 2001 Data Summary
View PDF
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-19,Increase,Apple Ships 5 Millionth iMac,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-23,Decrease,Apple Announces QuickTime 5 and QuickTime Streaming Server 3,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-23,Decrease,Digital Camera Manufacturers Adopt Apple's QuickTime,"More than 75 Camera Models Distribute QuickTime Technology
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-23,Decrease,Akamai and Apple to Continue Delivery of Industry Leading Internet Streaming Video and Audio,"Akamai's EdgeSuite technology to support worldwide delivery of Apple.com content, Apple software downloads and QuickTime TV streaming
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-24,Decrease,Apple Launches the Apple Teacher Institutes,"Hands-on Technology Workshops For K-12 Educators
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-30,Decrease,Ron Okamoto Joins Apple as Vice President of Developer Relations,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-04-30,Decrease,QuickTime 5 Downloads Top 1.5 Million in Less than One Week,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-01,Increase,Apple Unveils All New iBook,"Sleek New Portable Perfect for Today's Digital Lifestyle
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-01,Increase,Apple Releases Mac OS X Update with CD Burning,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-01,Increase,"Apple to Supply 23,000 iBooks to Henrico County Public Schools","Largest Portable Computer Sale to Education Ever
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-15,Decrease,Apple to Open 25 Retail Stores in 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-16,Increase,Steve Jobs to Kick Off Apple's Worldwide Developers Conference 2001,"Media Alert
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-21,Decrease,Apple to Pre-Install Mac OS X Ahead of Schedule,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-21,Decrease,Apple Retail Stores Welcome Over 7700 People in First Two Days,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-21,Decrease,Apple Ships Java-Based WebObjects 5,"Powerful Application Server Speeds Web Development and Deployment
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-21,Decrease,Apple First to Offer All LCD Flat Panel Display Lineup,"Unveils New 17-inch Model to Complete Display Family
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-05-21,Decrease,Apple Introduces Mac OS X Server,"Industrial-Strength Server for File, Print, Mail, Website and Streaming
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-06-06,Decrease,John Brandon Joins Apple as Vice President of the Americas and Asia Pacific,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-06-25,Increase,Apple Demonstrates Major Commitment To Education at NECC,"Apple's PowerSchool Selected by Three School Districts Serving Nearly 500,000 Students
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-02,Increase,Apple Announces AppleWorks 6.2 for Mac OS X,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-03,Increase,Apple Puts Power Mac G4 Cube on Ice,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-09,Increase,Apple at Macworld Expo New York 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-13,Increase,FY 01 Third Quarter Results Conference Call,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-16,Decrease,Financial Analyst Meeting,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-17,Increase,Apple Reports Third Quarter Profit of $61 Million,"Consolidated Financial Statements
View PDF
Q3 FY 2001 Data Summary
View PDF
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-17,Increase,IDC Report Shows Apple is the Leader in K-12 Education,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-18,Decrease,Apple Previews iDVD 2 for Mac OS X at Macworld Expo,"Hollywood-style Menus Enhance World’s Easiest DVD Authoring Solution
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-18,Decrease,Leading Developers Demonstrate Mac OS X Products at Macworld,"More than 1,000 Native Applications Available for Mac OS X
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-18,Decrease,Apple Updates iMac Family,"Trendsetting Digital Lifestyle Computer Now Faster, Less Expensive
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-18,Decrease,Apple Previews Next Version of Mac OS X,"New Version 10.1 Features Blazing Speed and Aqua Enhancements
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-07-18,Decrease,Apple Debuts New Power Mac G4 Line,"Revolutionary SuperDrive Now Available for $1,000 Less
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-08-20,Decrease,Apple Ships Dual 800 MHz Power Mac G4,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-08-21,Decrease,Steve Jobs to Kick Off Apple Expo 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-08-22,Increase,Apple FireWire Wins 2001 Primetime Emmy Engineering Award,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-08-24,Increase,Apple Offers Aggressive New Pricing on Titanium PowerBook G4,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-09-17,Increase,Apple Cancels Apple Expo 2001,"Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
2001-09-25,Decrease,Major Mac OS X Server v10.1 Update Now Available,"Industrial-Strength Server Delivers Increased Enhancements & Open Source Advancements
Apple Media Helpline


media.help@apple.com

The latest news and updates,direct from Apple.
Read more"
